timestamp(ms);HeadAccelerometer.X;HeadAccelerometer.Y;HeadAccelerometer.Z;HeadGyroscope.X;HeadGyroscope.Y;HeadGyroscope.Z;Hand Accelerometer 0.X;Hand Accelerometer 0.Y;Hand Accelerometer 0.Z;Hand Gyroscope 0.X;Hand Gyroscope 0.Y;Hand Gyroscope 0.Z;Hand Accelerometer 1.X;Hand Accelerometer 1.Y;Hand Accelerometer 1.Z;Hand Gyroscope 1.X;Hand Gyroscope 1.Y;Hand Gyroscope 1.Z
741871;0.01839709;0.03932541;0.01725755;358.0691;305.5875;2.611804;;;;;;;;;;;;
741871;0.01694598;0.03653793;0.01701417;357.8557;305.6384;2.564093;;;;;;;;;;;;
741871;0.0153472;0.0343595;0.01666017;357.6455;305.7041;2.525956;;;;;;;;;;;;
741871;0.01296074;0.03163148;0.01593875;357.4767;305.7389;2.543436;;;;;;;;;;;;
741871;0.01067561;0.02926538;0.01419773;357.3055;305.7925;2.534813;;;;;;;;;;;;
741871;0.007013215;0.02704663;0.01319932;357.1794;305.8295;2.558472;;;;;;;;;;;;
741871;0.004666052;0.02525605;0.01232565;357.0546;305.8471;2.575018;;;;;;;;;;;;
741871;0.001220071;0.02266853;0.01186268;356.9776;305.8607;2.604923;;;;;;;;;;;;
741871;-0.001761178;0.0200862;0.01204827;356.9018;305.8807;2.616632;;;;;;;;;;;;
741871;-0.005262176;0.01734063;0.01243763;356.8701;305.8815;2.637274;;;;;;;;;;;;
741871;-0.008743367;0.01442559;0.01288249;356.8382;305.8816;2.661359;;;;;;;;;;;;
741871;-0.01166225;0.01277403;0.01330871;356.8204;305.8781;2.671855;;;;;;;;;;;;
741871;-0.01515427;0.01054432;0.01460378;356.8193;305.87;2.676623;;;;;;;;;;;;
741871;-0.0177029;0.008791341;0.01594512;356.8158;305.869;2.650603;;;;;;;;;;;;
741871;-0.02174579;0.006763065;0.01828137;356.8221;305.8736;2.616913;;;;;;;;;;;;
741871;-0.02462448;0.005347072;0.02049003;356.8346;305.8845;2.576397;;;;;;;;;;;;
741871;-0.02706088;0.003190623;0.02295916;356.8744;305.9056;2.50581;;;;;;;;;;;;
